Index,Value
1,132
2,111
3,T TAKE1 NIL
4,183
5,129 131 81
8,10
9,T RETURN2 GIVEB 8
10,G . 4
11,T KEEP2 4
16,T GET4 RECEIVE1 NIL
17,T GIVE1 GIVE11 16
