Index,Value
1,154
2,T AND2 NIL
3,160
6,106 144
7,143 144
12,NIL
13,T PAY-TO NIL
14,G . 6
15,106
30,T TRADE1 2
31,78
62,79
63,T PAY-FOR 125
124,T BUY1 13
125,T SELL1 124
