Index,Value
1,115
2,114
3,43
4,116
5,G . 3
6,T PREVENT2 16
7,T PREVENT1 16
8,60
9,T ENABLE1 16
16,194
17,172
32,T IFTHEN1 NIL
33,43
34,175
35,171
66,T BECAUSE1 BECAUSE2 CAUSE1 CAUSE2 CAUSE3 CAUSE4 CAUSE5 CAUSE7 CAUSE9 DUETO1 RESULT1 RESULT3 RESULT5 RESULT6 RESULT7 RESULT8 RESULT9 RESULT10 MAKE2 MAKE3 NIL
67,T MAKE1 66
68,T DISLIKE4 16
69,T HATE4 68
70,T LIKE4 PLEASE4 ENJOY1 16
71,T LOVE4 70
