Index,Value
1,189
2,192
3,41 133
4,179
5,45 177
6,42 133 173
7,52
8,179
9,153 134
10,179
11,T OBJECT1 20
12,G . 4
13,180
14,T FEAR1 NIL
15,83
16,195
17,T THINK1 BELIEVE1 NIL
18,154 134 83
19,T EXPECT2 36
20,T CONSIDER2  68 4
21,G . 36
26,151 83 134
27,T HOPE1 4
30,T FEAR2 14
31,T FEAR3 14
32,T KNOW1 NIL
33,G . 17
36,T EXPECT1 8
37,T EXPECT3 36
52,152 134
53,T WANT3 104
104,T WANT1 27
105,T WANT2  104
