Index,Value
1,101 196
2,60 196
3,55
4,59 172
5,172
6,56
7,67 32
8,NIL
9,138
10,43 138
11,54 100 53 138
12,NIL
13,172
14,NIL
15,T KILL1 NIL
18,T ANNOY1 AGGRAVATE1 NIL
19,T ANNOY2 18
20,NIL
21,175
22,43 138
23,T INTEREST2 22
26,T HURT1 NIL
27,T RELIEVE1 NIL
42,T DISLIKE1 NIL
43,T HATE1 42
44,NIL
45,171
90,T LIKE1 NIL
91,T LOVE1 90
